Discovered 1223 test files (0 tests) under ['tests']; running with -j 64
[  0.0% |     0/0 | ✓9268 | ✗  18] ✓ tests/cron/test_scheduler_mcp_init.py (1✓, 5.7s)
[  0.0% |     0/0 | ✓9303 | ✗  18] ✓ tests/cli/test_fast_command.py (35✓, 10.7s)
[  0.0% |     0/0 | ✓9310 | ✗  18] ✓ tests/gateway/test_clean_shutdown_marker.py (7✓, 2.9s)
[  0.0% |     0/0 | ✓9312 | ✗  18] ✓ tests/cron/test_codex_execution_paths.py (2✓, 8.6s)
[  0.0% |     0/0 | ✓9323 | ✗  18] ✓ tests/cron/test_cron_inactivity_timeout.py (11✓, 8.2s)
[  0.0% |     0/0 | ✓9327 | ✗  18] ✓ tests/gateway/test_busy_session_auth_bypass.py (4✓, 3.6s)
[  0.0% |     0/0 | ✓9453 | ✗  18] ✓ tests/argo_cli/test_runtime_provider_resolution.py (126✓, 28.7s)
[  0.0% |     0/0 | ✓9471 | ✗  18] ✓ tests/cli/test_quick_commands.py (18✓, 11.1s)
[  0.0% |     0/0 | ✓9511 | ✗  18] ✓ tests/cli/test_resume_display.py (40✓, 11.0s)
[  0.0% |     0/0 | ✓9563 | ✗  18] ✓ tests/argo_cli/test_xiaomi_provider.py (52✓, 19.5s)
[  0.0% |     0/0 | ✓9565 | ✗  18] ✓ tests/gateway/test_debug_command.py (2✓, 4.5s)
[  0.0% |     0/0 | ✓9571 | ✗  18] ✓ tests/gateway/test_destructive_slash_confirm.py (6✓, 4.5s)
[  0.0% |     0/0 | ✓9586 | ✗  18] ✓ tests/gateway/test_discord_allowed_channels.py (15✓, 4.4s)
[  0.0% |     0/0 | ✓9606 | ✗  18] ✓ tests/cron/test_cron_profile.py (20✓, 10.2s)
[  0.0% |     0/0 | ✓9623 | ✗  18] ✓ tests/gateway/test_api_server_normalize.py (17✓, 7.3s)
[  0.0% |     0/0 | ✓9629 | ✗  18] ✓ tests/gateway/test_discord_channel_skills.py (6✓, 3.2s)
[  0.0% |     0/0 | ✓9652 | ✗  18] ✓ tests/gateway/test_api_server_multimodal.py (23✓, 7.6s)
[  0.0% |     0/0 | ✓9662 | ✗  18] ✓ tests/gateway/test_base_topic_sessions.py (10✓, 6.7s)
[  0.0% |     0/0 | ✓9834 | ✗  18] ✓ tests/argo_cli/test_kanban_db.py (172✓, 42.0s)
[  0.0% |     0/0 | ✓9849 | ✗  18] ✓ tests/gateway/test_active_session_text_merge.py (15✓, 8.8s)
[  0.0% |     0/0 | ✓9866 | ✗  18] ✓ tests/gateway/test_busy_session_ack.py (17✓, 6.5s)
[  0.0% |     0/0 | ✓9867 | ✗  18] ✓ tests/gateway/test_discord_imports.py (1✓, 2.9s)
[  0.0% |     0/0 | ✓9869 | ✗  18] ✓ tests/gateway/test_discord_lazy_install_views.py (2✓, 2.9s)
[  0.0% |     0/0 | ✓9888 | ✗  18] ✓ tests/gateway/test_discord_allowed_mentions.py (19✓, 5.3s)
[  0.0% |     0/0 | ✓9905 | ✗  18] ✓ tests/gateway/test_api_server_bind_guard.py (17✓, 8.7s)
[  0.0% |     0/0 | ✓9923 | ✗  18] ✓ tests/cron/test_cron_no_agent.py (18✓, 11.3s)
[  0.0% |     0/0 | ✓9938 | ✗  18] ✓ tests/gateway/test_complete_path_at_filter.py (15✓, 6.4s)
[  0.0% |     0/0 | ✓9939 | ✗  18] ✓ tests/gateway/test_discord_model_picker.py (1✓, 2.5s)
[  0.0% |     0/0 | ✓9951 | ✗  18] ✓ tests/gateway/test_api_server_toolset.py (12✓, 8.3s)
[  0.0% |     0/0 | ✓9959 | ✗  18] ✓ tests/gateway/test_discord_bot_filter.py (8✓, 4.9s)
[  0.0% |     0/0 | ✓9960 | ✗  18] ✓ tests/gateway/test_compression_session_id_persistence.py (1✓, 6.4s)
[  0.0% |     0/0 | ✓ 9983 | ✗   18] ✓ tests/gateway/test_delivery.py (23✓, 6.4s)
[  0.0% |     0/0 | ✓10004 | ✗   18] ✓ tests/gateway/test_approve_deny_commands.py (21✓, 8.7s)
[  0.0% |     0/0 | ✓10018 | ✗   18] ✓ tests/gateway/test_discord_attachment_download.py (14✓, 5.7s)
[  0.0% |     0/0 | ✓10051 | ✗   18] ✓ tests/gateway/test_channel_directory.py (33✓, 7.4s)
[  0.0% |     0/0 | ✓10078 | ✗   18] ✓ tests/gateway/test_allowed_channels_widening.py (27✓, 10.0s)
[  0.0% |     0/0 | ✓10092 | ✗   18] ✓ tests/gateway/test_discord_clarify_buttons.py (14✓, 5.3s)
[  0.0% |     0/0 | ✓10094 | ✗   18] ✓ tests/gateway/test_compress_focus.py (2✓, 7.4s)
[  0.0% |     0/0 | ✓10117 | ✗   18] ✓ tests/gateway/test_config_cwd_bridge.py (23✓, 7.1s)
[  0.0% |     0/0 | ✓10132 | ✗   18] ✓ tests/cli/test_tool_progress_scrollback.py (15✓, 14.0s)
[  0.0% |     0/0 | ✓10133 | ✗   18] ✓ tests/gateway/test_discord_media_metadata.py (1✓, 4.1s)
[  0.0% |     0/0 | ✓10155 | ✗   18] ✓ tests/gateway/test_api_server_runs.py (22✓, 9.9s)
[  0.0% |     0/0 | ✓10176 | ✗   18] ✓ tests/cron/test_cron_workdir.py (21✓, 12.5s)
[  0.0% |     0/0 | ✓10196 | ✗   18] ✓ tests/gateway/test_discord_document_handling.py (20✓, 5.1s)
[  0.0% |     0/0 | ✓10225 | ✗   18] ✓ tests/argo_cli/test_user_providers_model_switch.py (29✓, 25.7s)
[  0.0% |     0/0 | ✓10229 | ✗   18] ✓ tests/gateway/test_discord_opus.py (4✓, 4.1s)
[  0.0% |     0/0 | ✓10231 | ✗   18] ✓ tests/gateway/test_compress_plugin_engine.py (2✓, 8.3s)
[  0.0% |     0/0 | ✓10250 | ✗   18] ✓ tests/gateway/test_discord_component_auth.py (19✓, 5.8s)
[  0.0% |     0/0 | ✓10259 | ✗   18] ✓ tests/gateway/test_discord_bot_auth_bypass.py (9✓, 6.8s)
[  0.0% |     0/0 | ✓10260 | ✗   18] ✓ tests/gateway/test_discord_race_polish.py (1✓, 3.5s)
[  0.0% |     0/0 | ✓10264 | ✗   18] ✓ tests/gateway/test_fallback_eviction.py (4✓, 2.6s)
[  0.0% |     0/0 | ✓10268 | ✗   18] ✓ tests/gateway/test_fast_command.py (4✓, 2.6s)
[  0.0% |     0/0 | ✓10275 | ✗   18] ✓ tests/gateway/test_discord_reactions.py (7✓, 4.0s)
[  0.0% |     0/0 | ✓10283 | ✗   18] ✓ tests/gateway/test_discord_system_messages.py (8✓, 4.2s)
[  0.0% |     0/0 | ✓10295 | ✗   18] ✓ tests/gateway/test_discord_roles_dm_scope.py (12✓, 4.6s)
[  0.0% |     0/0 | ✓10326 | ✗   18] ✓ tests/gateway/test_background_process_notifications.py (31✓, 11.0s)
[  0.0% |     0/0 | ✓10330 | ✗   18] ✓ tests/gateway/test_compress_command.py (4✓, 9.9s)
[  0.0% |     0/0 | ✓10334 | ✗   18] ✓ tests/gateway/test_gateway_command_help.py (4✓, 2.5s)
[  0.0% |     0/0 | ✓10384 | ✗   18] ✓ tests/gateway/test_bluebubbles.py (50✓, 11.0s)
[  0.0% |     0/0 | ✓10439 | ✗   18] ✓ tests/cli/test_reasoning_command.py (55✓, 17.3s)
[  0.0% |     0/0 | ✓10449 | ✗   18] ✓ tests/gateway/test_discord_channel_prompts.py (10✓, 8.2s)
[  0.0% |     0/0 | ✓10485 | ✗   18] ✓ tests/gateway/test_api_server_jobs.py (36✓, 12.5s)
[  0.0% |     0/0 | ✓10491 | ✗   18] ✓ tests/gateway/test_config_env_bridge_authority.py (6✓, 9.7s)
[  0.0% |     0/0 | ✓10519 | ✗   18] ✓ tests/cli/test_surrogate_sanitization.py (28✓, 16.6s)
[  0.0% |     0/0 | ✓10533 | ✗   18] ✓ tests/gateway/test_discord_channel_controls.py (14✓, 8.5s)
[  0.0% |     0/0 | ✓10541 | ✗   18] ✓ tests/gateway/test_discord_thread_persistence.py (8✓, 4.8s)
[  0.0% |     0/0 | ✓10619 | ✗   18] ✓ tests/argo_cli/test_tools_config.py (78✓, 30.1s)
[  0.0% |     0/0 | ✓10622 | ✗   18] ✓ tests/gateway/test_goal_status_notice.py (3✓, 2.6s)
[  0.0% |     0/0 | ✓10643 | ✗   18] ✓ tests/gateway/test_background_command.py (21✓, 11.9s)
[  0.0% |     0/0 | ✓10656 | ✗   18] ✓ tests/gateway/test_ephemeral_reply.py (13✓, 4.5s)
[  0.0% |     0/0 | ✓10672 | ✗   18] ✓ tests/gateway/test_discord_connect.py (16✓, 8.4s)
[  0.0% |     0/0 | ✓10678 | ✗   18] ✓ tests/gateway/test_interrupt_key_match.py (6✓, 2.8s)
[  0.0% |     0/0 | ✓10698 | ✗   18] ✓ tests/gateway/test_feishu_comment.py (20✓, 4.2s)
[  0.0% |     0/0 | ✓10707 | ✗   18] ✓ tests/gateway/test_fresh_reset_skill_injection.py (9✓, 4.1s)
[  0.0% |     0/0 | ✓10708 | ✗   18] ✓ tests/gateway/test_goal_max_turns_config.py (1✓, 4.1s)
[  0.0% |     0/0 | ✓10713 | ✗   18] ✓ tests/gateway/test_goal_verdict_send.py (5✓, 3.9s)
[  0.0% |     0/0 | ✓10753 | ✗   18] ✓ tests/gateway/test_command_bypass_active_session.py (40✓, 11.9s)
[  0.0% |     0/0 | ✓10771 | ✗   18] ✓ tests/gateway/test_discord_send.py (18✓, 6.6s)
[  0.0% |     0/0 | ✓10778 | ✗   18] ✓ tests/gateway/test_home_target_env_var.py (7✓, 3.9s)
[  0.0% |     0/0 | ✓10812 | ✗   18] ✓ tests/gateway/test_discord_free_response.py (34✓, 9.0s)
[  0.0% |     0/0 | ✓10816 | ✗   18] ✓ tests/gateway/test_media_extraction.py (4✓, 1.9s)
[  0.0% |     0/0 | ✓10818 | ✗   18] ✓ tests/gateway/test_matrix_exec_approval.py (2✓, 2.4s)
[  0.0% |     0/0 | ✓10842 | ✗   18] ✓ tests/gateway/test_duplicate_reply_suppression.py (24✓, 6.2s)
[  0.0% |     0/0 | ✓10842 | ✗   18] ✓ tests/gateway/test_matrix_voice.py (1s, 2.4s)
[  0.0% |     0/0 | ✓10848 | ✗   18] ✓ tests/gateway/test_feishu_bot_auth_bypass.py (6✓, 5.6s)
[  0.0% |     0/0 | ✓10860 | ✗   18] ✓ tests/gateway/test_insights_unicode_flags.py (12✓, 4.5s)
[  0.0% |     0/0 | ✓10861 | ✗   18] ✓ tests/gateway/test_load_transcript_db_only.py (1✓, 3.4s)
[  0.0% |     0/0 | ✓11026 | ✗   18] ✓ tests/argo_cli/test_kanban_core_functionality.py (165✓, 49.5s)
[  0.0% |     0/0 | ✓11032 | ✗   18] ✓ tests/gateway/test_kanban_notifier.py (6✓, 4.2s)
[  0.0% |     0/0 | ✓11034 | ✗   18] ✓ tests/gateway/test_native_image_buffer_isolation.py (2✓, 2.2s)
[  0.0% |     0/0 | ✓11056 | ✗   18] ✓ tests/gateway/test_document_cache.py (22✓, 7.3s)
[  0.0% |     0/0 | ✓11064 | ✗   18] ✓ tests/gateway/test_internal_event_bypass_pairing.py (8✓, 5.0s)
[  0.0% |     0/0 | ✓11064 | ✗   18] ✓ tests/gateway/test_plugin_platform_interface.py (7s, 1.1s)
[  0.0% |     0/0 | ✓11083 | ✗   24] ✗ tests/argo_cli/test_update_autostash.py (19✓ 6✗, 32.1s)

  ╔╍ Failed: tests/argo_cli/test_update_autostash.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ 
  ║ ✓ Code updated!
  ║ 
  ║ → Syncing bundled skills...
  ║   ✓ Skills are up to date
  ║ 
  ║ → Syncing bundled skills to all profiles...
  ║   default: sync failed
  ║ 
  ║ → Checking configuration for new options...
  ║   ✓ Configuration is up to date
  ║ 
  ║ ✓ Update complete!
  ║ 
  ║ ℹ Skill curator
  ║   Background skill maintenance is enabled. First pass is deferred ~7d after installation; only agent-created skills are in scope and nothing is ever auto-deleted (archive is recoverable).
  ║   Preview now:  argo curator run --dry-run
  ║   Pause it:     argo curator pause
  ║   Docs:         https://hermes-agent.nousresearch.com/docs/user-guide/features/curator
  ║ 
  ║ Tip: You can now select a provider and model:
  ║   argo model              # Select provider and model
  ║ =========================== short test summary info ============================
  ║ FAILED tests/argo_cli/test_update_autostash.py::test_cmd_update_retries_optional_extras_individually_when_all_fails
  ║ FAILED tests/argo_cli/test_update_autostash.py::test_cmd_update_succeeds_with_extras
  ║ FAILED tests/argo_cli/test_update_autostash.py::test_cmd_update_falls_back_to_reset_when_ff_only_fails
  ║ FAILED tests/argo_cli/test_update_autostash.py::test_cmd_update_switches_to_main_from_feature_branch
  ║ FAILED tests/argo_cli/test_update_autostash.py::test_cmd_update_switches_to_main_from_detached_head
  ║ FAILED tests/argo_cli/test_update_autostash.py::test_cmd_update_no_checkout_when_already_on_main
  ║ ======================== 6 failed, 19 passed in 30.50s =========================
  ║
  ║  Repro: python -m pytest tests/argo_cli/test_update_autostash.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[  0.0% |     0/0 | ✓11091 | ✗   24] ✓ tests/gateway/test_message_deduplicator.py (8✓, 3.4s)
[  0.0% |     0/0 | ✓11101 | ✗   24] ✓ tests/gateway/test_memory_monitor.py (10✓, 3.7s)
[  0.0% |     0/0 | ✓11135 | ✗   24] ✓ tests/gateway/test_display_config.py (34✓, 8.8s)
[  0.0% |     0/0 | ✓11138 | ✗   24] ✓ tests/gateway/test_notice_delivery.py (3✓, 3.3s)
[  0.0% |     0/0 | ✓11174 | ✗   24] ✓ tests/cron/test_cron_script.py (36✓, 19.4s)
[  0.0% |     0/0 | ✓11206 | ✗   24] ✓ tests/gateway/test_discord_slash_auth.py (32✓, 9.5s)
[  0.0% |     0/0 | ✓11209 | ✗   24] ✓ tests/gateway/test_pending_drain_race.py (3✓, 3.0s)
[  0.0% |     0/0 | ✓11239 | ✗   24] ✓ tests/gateway/test_feishu_comment_rules.py (30✓, 7.7s)
[  0.0% |     0/0 | ✓11248 | ✗   24] ✓ tests/gateway/test_model_switch_persistence.py (9✓, 4.4s)
[  0.0% |     0/0 | ✓11292 | ✗   24] ✓ tests/gateway/test_extract_local_files.py (44✓, 8.9s)
[  0.0% |     0/0 | ✓11295 | ✗   24] ✓ tests/gateway/test_model_command_flat_string_config.py (3✓, 4.7s)
[  0.0% |     0/0 | ✓11331 | ✗   24] ✓ tests/gateway/test_dm_topics.py (36✓, 9.6s)
[  0.0% |     0/0 | ✓11358 | ✗   24] ✓ tests/gateway/test_feishu_onboard.py (27✓, 8.3s)
[  0.0% |     0/0 | ✓11364 | ✗   24] ✓ tests/gateway/test_pending_event_none.py (6✓, 3.7s)
[  0.0% |     0/0 | ✓11451 | ✗   24] ✓ tests/cron/test_jobs.py (87✓, 19.7s)
[  0.0% |     0/0 | ✓11519 | ✗   24] ✓ tests/gateway/test_dingtalk.py (68✓, 15.0s)
[  0.0% |     0/0 | ✓11534 | ✗   24] ✓ tests/gateway/test_mirror.py (15✓, 5.7s)
[  0.0% |     0/0 | ✓11535 | ✗   24] ✓ tests/gateway/test_model_command_custom_providers.py (1✓, 6.0s)
[  0.0% |     0/0 | ✓11551 | ✗   24] ✓ tests/gateway/test_pii_redaction.py (16✓, 4.6s)
[  0.0% |     0/0 | ✓11560 | ✗   24] ✓ tests/gateway/test_post_delivery_callback_chaining.py (9✓, 4.0s)
[  0.0% |     0/0 | ✓11574 | ✗   24] ✓ tests/gateway/test_loop_exception_handler.py (14✓, 6.9s)
[  0.0% |     0/0 | ✓11595 | ✗   24] ✓ tests/gateway/test_hooks.py (21✓, 8.7s)
[  0.0% |     0/0 | ✓11600 | ✗   24] ✓ tests/gateway/test_pre_gateway_dispatch.py (5✓, 4.2s)
[  0.0% |     0/0 | ✓11605 | ✗   24] ✓ tests/gateway/test_reply_to_injection.py (5✓, 3.6s)
[  0.0% |     0/0 | ✓11640 | ✗   24] ✓ tests/gateway/test_feishu_approval_buttons.py (35✓, 11.1s)
[  0.0% |     0/0 | ✓11647 | ✗   24] ✓ tests/gateway/test_platform_http_client_limits.py (7✓, 5.6s)
[  0.0% |     0/0 | ✓11680 | ✗   24] ✓ tests/gateway/test_discord_slash_commands.py (33✓, 12.4s)
[  0.0% |     0/0 | ✓11684 | ✗   24] ✓ tests/gateway/test_reload_skills_command.py (4✓, 4.6s)
[  0.0% |     0/0 | ✓11686 | ✗   24] ✓ tests/gateway/test_runtime_env_reload_config_authority.py (2✓, 2.4s)
[  0.0% |     0/0 | ✓11690 | ✗   24] ✓ tests/gateway/test_keep_typing_timeout.py (4✓, 9.5s)
[  0.0% |     0/0 | ✓11692 | ✗   24] ✓ tests/gateway/test_runner_fatal_adapter.py (2✓, 3.4s)
[  0.0% |     0/0 | ✓11697 | ✗   24] ✓ tests/gateway/test_pending_drain_no_recursion.py (5✓, 6.9s)
[  0.0% |     0/0 | ✓11708 | ✗   24] ✓ tests/gateway/test_queue_consumption.py (11✓, 5.6s)
[  0.0% |     0/0 | ✓11710 | ✗   24] ✓ tests/gateway/test_send_voice_reply_notify.py (2✓, 2.2s)
[  0.0% |     0/0 | ✓11743 | ✗   24] ✓ tests/gateway/test_discord_reply_mode.py (33✓, 13.9s)
[  0.0% |     0/0 | ✓11748 | ✗   24] ✓ tests/gateway/test_running_agent_session_toggles.py (5✓, 3.7s)
[  0.0% |     0/0 | ✓11752 | ✗   24] ✓ tests/gateway/test_safe_adapter_disconnect.py (4✓, 3.2s)
[  0.0% |     0/0 | ✓11768 | ✗   24] ✓ tests/gateway/test_replay_entry_fields.py (16✓, 5.8s)
[  0.0% |     0/0 | ✓11791 | ✗   24] ✓ tests/gateway/test_msgraph_webhook.py (23✓, 8.5s)
[  0.0% |     0/0 | ✓11798 | ✗   24] ✓ tests/gateway/test_runtime_config_env_expansion.py (7✓, 3.7s)
[  0.0% |     0/0 | ✓11803 | ✗   24] ✓ tests/gateway/test_reload_skills_discord_resync.py (5✓, 6.0s)
[  0.0% |     0/0 | ✓11820 | ✗   24] ✓ tests/gateway/test_restart_drain.py (17✓, 5.6s)
[  0.0% |     0/0 | ✓11829 | ✗   24] ✓ tests/gateway/test_restart_redelivery_dedup.py (9✓, 4.9s)
[  0.0% |     0/0 | ✓11831 | ✗   24] ✓ tests/gateway/test_retry_response.py (2✓, 4.6s)
[  0.0% |     0/0 | ✓11879 | ✗   24] ✓ tests/gateway/test_config.py (48✓, 19.0s)
[  0.0% |     0/0 | ✓11881 | ✗   24] ✓ tests/gateway/test_retry_replacement.py (2✓, 4.8s)
[  0.0% |     0/0 | ✓11922 | ✗   24] ✓ tests/cli/test_worktree.py (41✓, 25.8s)
[  0.0% |     0/0 | ✓11974 | ✗   24] ✓ tests/gateway/test_matrix_mention.py (52✓, 10.1s)
[  0.0% |     0/0 | ✓11988 | ✗   24] ✓ tests/gateway/test_resume_command.py (14✓, 5.8s)
[  0.0% |     0/0 | ✓12024 | ✗   24] ✓ tests/gateway/test_media_download_retry.py (36✓, 10.9s)
[  0.0% |     0/0 | ✓12026 | ✗   24] ✓ tests/gateway/test_run_progress_interrupt.py (2✓, 5.9s)
[  0.0% |     0/0 | ✓12057 | ✗   24] ✓ tests/gateway/test_platform_connected_checkers.py (31✓, 9.1s)
[  0.0% |     0/0 | ✓12100 | ✗   24] ✓ tests/gateway/test_mattermost.py (43✓, 11.1s)
[  0.0% |     0/0 | ✓12104 | ✗   24] ✓ tests/gateway/test_session_list_allowed_sources.py (4✓, 2.8s)
[  0.0% |     0/0 | ✓12164 | ✗   24] ✓ tests/gateway/test_feishu_bot_admission.py (60✓, 14.9s)
[  0.0% |     0/0 | ✓12173 | ✗   24] ✓ tests/gateway/test_session_api.py (9✓, 4.4s)
[  0.0% |     0/0 | ✓12183 | ✗   24] ✓ tests/gateway/test_session_dm_thread_seeding.py (10✓, 4.3s)
[  0.0% |     0/0 | ✓12226 | ✗   24] ✓ tests/gateway/test_pairing.py (43✓, 10.7s)
[  0.0% |     0/0 | ✓12245 | ✗   24] ✓ tests/gateway/test_send_multiple_images.py (19✓, 5.7s)
[  0.0% |     0/0 | ✓12248 | ✗   24] ✓ tests/gateway/test_mcp_reload_refreshes_cached_agents.py (3✓, 12.1s)
[  0.0% |     0/0 | ✓12277 | ✗   24] ✓ tests/gateway/test_platform_reconnect.py (29✓, 10.0s)
[  0.0% |     0/0 | ✓12282 | ✗   24] ✓ tests/gateway/test_session_boundary_security_state.py (5✓, 4.7s)
[  0.0% |     0/0 | ✓12326 | ✗   24] ✓ tests/gateway/test_irc_adapter.py (44✓, 13.8s)
[  0.0% |     0/0 | ✓12329 | ✗   24] ✓ tests/gateway/test_session_model_reset.py (3✓, 3.9s)
[  0.0% |     0/0 | ✓12389 | ✗   24] ✓ tests/gateway/test_email.py (60✓, 16.4s)
[  0.0% |     0/0 | ✓12414 | ✗   24] ✓ tests/gateway/test_runtime_footer.py (25✓, 7.0s)
[  0.0% |     0/0 | ✓12459 | ✗   24] ✓ tests/gateway/test_homeassistant.py (45✓, 14.6s)
[  0.0% |     0/0 | ✓12464 | ✗   24] ✓ tests/gateway/test_run_cleanup_progress.py (5✓, 8.0s)
[  0.0% |     0/0 | ✓12482 | ✗   24] ✓ tests/gateway/test_reasoning_command.py (18✓, 9.6s)
[  0.0% |     0/0 | ✓12484 | ✗   24] ✓ tests/gateway/test_shared_group_sender_prefix.py (2✓, 3.7s)
[  0.0% |     0/0 | ✓12491 | ✗   24] ✓ tests/gateway/test_shutdown_memory_provider_messages.py (7✓, 3.6s)
[  0.0% |     0/0 | ✓12514 | ✗   24] ✓ tests/gateway/test_send_image_file.py (23✓, 6.6s)
[  0.0% |     0/0 | ✓12539 | ✗   24] ✓ tests/gateway/test_restart_notification.py (25✓, 9.1s)
[  0.0% |     0/0 | ✓12547 | ✗   24] ✓ tests/gateway/test_shutdown_cache_cleanup.py (8✓, 3.7s)
[  0.0% |     0/0 | ✓12559 | ✗   24] ✓ tests/gateway/test_session_env.py (12✓, 5.4s)
[  0.0% |     0/0 | ✓12569 | ✗   24] ✓ tests/gateway/test_session_state_cleanup.py (10✓, 4.5s)
[  0.0% |     0/0 | ✓12572 | ✗   24] ✓ tests/gateway/test_ssl_certs.py (3✓, 2.2s)
[  0.0% |     0/0 | ✓12588 | ✗   24] ✓ tests/gateway/test_session_reset_notify.py (16✓, 5.3s)
[  0.0% |     0/0 | ✓12599 | ✗   24] ✓ tests/gateway/test_slack_channel_skills.py (11✓, 4.1s)
[  0.0% |     0/0 | ✓12603 | ✗   24] ✓ tests/gateway/test_session_model_override_routing.py (4✓, 6.3s)
[  0.0% |     0/0 | ✓12607 | ✗   24] ✓ tests/gateway/test_step_callback_compat.py (4✓, 2.8s)
[  0.0% |     0/0 | ✓12625 | ✗   24] ✓ tests/gateway/test_signal_rate_limit.py (18✓, 5.5s)
[  0.0% |     0/0 | ✓12698 | ✗   24] ✓ tests/gateway/test_line_plugin.py (73✓, 16.0s)
[  0.0% |     0/0 | ✓12716 | ✗   24] ✓ tests/gateway/test_session_store_prune.py (18✓, 6.0s)
[  0.0% |     0/0 | ✓12721 | ✗   24] ✓ tests/gateway/test_telegram_callback_auth_fail_closed.py (5✓, 2.2s)
[  0.0% |     0/0 | ✓12756 | ✗   24] ✓ tests/gateway/test_send_retry.py (35✓, 8.8s)
[  0.0% |     0/0 | ✓12769 | ✗   24] ✓ tests/gateway/test_session_split_brain_11016.py (13✓, 6.2s)
[  0.0% |     0/0 | ✓12774 | ✗   24] ✓ tests/gateway/test_steer_command.py (5✓, 3.6s)
[  0.0% |     0/0 | ✓12783 | ✗   24] ✓ tests/gateway/test_session_info.py (9✓, 7.6s)
[  0.0% |     0/0 | ✓12797 | ✗   24] ✓ tests/gateway/test_setup_feishu.py (14✓, 6.6s)
[  0.0% |     0/0 | ✓12803 | ✗   24] ✓ tests/gateway/test_sse_agent_cancel.py (6✓, 4.6s)
[  0.0% |     0/0 | ✓12830 | ✗   24] ✓ tests/gateway/test_simplex_plugin.py (27✓, 6.5s)
[  0.0% |     0/0 | ✓12839 | ✗   24] ✓ tests/gateway/test_stuck_loop.py (9✓, 3.4s)
[  0.0% |     0/0 | ✓12842 | ✗   24] ✓ tests/gateway/test_telegram_channel_posts.py (3✓, 3.1s)
[  0.0% |     0/0 | ✓12864 | ✗   24] ✓ tests/gateway/test_proxy_mode.py (22✓, 13.1s)
[  0.0% |     0/0 | ✓12869 | ✗   24] ✓ tests/gateway/test_telegram_audio_vs_voice.py (5✓, 3.5s)
[  0.0% |     0/0 | ✓12892 | ✗   24] ✓ tests/gateway/test_slack_approval_buttons.py (23✓, 6.5s)
[  0.0% |     0/0 | ✓12901 | ✗   24] ✓ tests/gateway/test_runner_startup_failures.py (9✓, 11.2s)
[  0.0% |     0/0 | ✓12924 | ✗   24] ✓ tests/gateway/test_session_hygiene.py (23✓, 8.6s)
[  0.0% |     0/0 | ✓12936 | ✗   24] ✓ tests/gateway/test_stream_consumer_draft.py (12✓, 4.3s)
[  0.0% |     0/0 | ✓12991 | ✗   24] ✓ tests/gateway/test_agent_cache.py (55✓, 29.8s)
[  0.0% |     0/0 | ✓12998 | ✗   24] ✓ tests/gateway/test_stream_consumer_thread_routing.py (7✓, 4.2s)
[  0.0% |     0/0 | ✓13005 | ✗   24] ✓ tests/gateway/test_teams_pipeline_runtime_wiring.py (7✓, 4.0s)
[  0.0% |     0/0 | ✓13011 | ✗   24] ✓ tests/gateway/test_session_boundary_hooks.py (6✓, 9.7s)
[  0.0% |     0/0 | ✓13012 | ✗   24] ✓ tests/gateway/test_telegram_photo_interrupts.py (1✓, 2.0s)
[  0.0% |     0/0 | ✓13029 | ✗   24] ✓ tests/gateway/test_sticker_cache.py (17✓, 5.1s)
[  0.0% |     0/0 | ✓13035 | ✗   24] ✓ tests/gateway/test_stt_config.py (6✓, 4.9s)
[  0.0% |     0/0 | ✓13056 | ✗   24] ✓ tests/gateway/test_slash_access.py (21✓, 6.6s)
[  0.0% |     0/0 | ✓13068 | ✗   24] ✓ tests/gateway/test_telegram_clarify_buttons.py (12✓, 4.7s)
[  0.0% |     0/0 | ✓13073 | ✗   24] ✓ tests/gateway/test_telegram_webhook_secret.py (5✓, 1.7s)
[  0.0% |     0/0 | ✓13077 | ✗   24] ✓ tests/gateway/test_telegram_model_picker.py (4✓, 3.3s)
[  0.0% |     0/0 | ✓13083 | ✗   24] ✓ tests/gateway/test_telegram_noise_filter.py (6✓, 3.4s)
[  0.0% |     0/0 | ✓13101 | ✗   24] ✓ tests/gateway/test_slash_access_dispatch.py (18✓, 7.6s)
[  0.0% |     0/0 | ✓13104 | ✗   24] ✓ tests/gateway/test_telegram_max_doc_bytes.py (3✓, 4.0s)
[  0.0% |     0/0 | ✓13124 | ✗   24] ✓ tests/gateway/test_telegram_approval_buttons.py (20✓, 6.1s)
[  0.0% |     0/0 | ✓13128 | ✗   24] ✓ tests/gateway/test_telegram_reply_quote.py (4✓, 3.2s)
[  0.0% |     0/0 | ✓13143 | ✗   24] ✓ tests/gateway/test_stream_consumer_fresh_final.py (15✓, 6.6s)
[  0.0% |     0/0 | ✓13152 | ✗   24] ✓ tests/gateway/test_gateway_shutdown.py (9✓, 21.5s)
[  0.0% |     0/0 | ✓13157 | ✗   24] ✓ tests/gateway/test_telegram_status_update.py (5✓, 3.3s)
